Air_Temp,Process_Temp,RPM,Torque,Tool_Wear,Vibration,Pressure,Humidity,Voltage,Current,Production_Count,Maintenance_Days_Ago,Defect,Failure
27.7,46.1,1595,42.6,83,0.43,101.7,54,224.3,9.1,631,32,0,0
32.3,52.3,1346,49.4,199,0.38,101.1,31,223.2,9.6,220,79,1,1
23.1,33.7,1297,35.7,42,0.16,97.2,37,212.0,10.2,518,13,0,0
23.2,36.0,1484,36.9,176,0.39,100.0,49,224.0,7.8,323,72,0,0
28.9,37.1,1609,31.9,110,0.42,104.1,59,218.3,9.4,951,66,0,0
21.9,35.5,1610,30.5,82,0.48,98.3,35,219.0,12.2,968,59,0,0
26.1,36.6,1408,42.2,225,0.25,97.9,65,214.1,14.9,287,30,0,0
25.5,41.3,1181,40.8,23,0.32,103.3,45,217.7,12.5,684,70,1,0
23.0,34.7,1658,41.6,80,0.54,103.1,41,224.2,11.2,483,75,0,0
29.6,47.6,1451,47.3,77,0.5,101.5,47,221.6,10.2,499,89,1,0
21.8,32.0,1537,58.1,122,0.44,101.9,61,221.2,12.5,254,19,0,0
26.9,36.3,1522,29.1,202,0.2,99.0,54,214.9,10.7,802,54,0,0
26.9,37.4,1460,37.5,44,0.29,100.2,56,219.1,7.4,498,4,0,0
26.2,42.4,1781,33.5,160,0.17,99.4,42,214.4,11.1,863,19,0,0
26.1,44.0,1266,47.6,119,0.29,100.1,47,212.8,7.7,282,76,0,0
25.0,33.3,1535,51.9,220,0.09,99.1,47,212.5,8.4,379,60,0,0
22.7,31.8,1343,35.8,171,0.44,102.2,56,221.8,9.4,610,70,0,0
22.7,32.1,1550,24.2,211,0.53,101.1,64,218.4,10.2,730,46,0,0
26.1,45.2,1717,28.5,31,0.42,104.1,45,221.3,9.6,214,70,0,0
22.5,38.3,1737,55.3,74,0.25,101.2,60,223.7,9.8,764,18,0,0
26.6,44.1,1390,23.9,129,0.49,101.3,49,220.4,11.4,875,62,1,0
21.6,33.6,1514,32.2,238,0.32,102.5,45,216.7,9.4,994,52,0,0
30.3,46.1,1476,51.9,32,0.6,98.6,36,219.9,11.5,738,58,1,1
22.7,31.6,1527,33.8,159,0.29,98.6,51,225.9,6.8,589,40,0,0
25.4,36.8,1772,40.5,250,0.4,103.6,36,224.1,7.1,229,5,0,0
26.6,39.8,1506,48.2,174,0.37,100.1,35,216.2,8.8,899,30,0,0
22.8,38.8,1347,47.2,73,0.27,100.8,58,217.4,15.6,506,81,0,0
22.0,42.0,1551,37.0,97,0.21,100.2,48,229.3,10.5,605,35,1,0
28.2,45.5,1162,41.8,56,0.56,99.5,38,214.7,7.0,861,5,1,1
20.3,37.1,1627,43.6,191,0.28,102.0,64,223.4,8.7,713,34,0,0
26.1,35.0,1309,40.1,173,0.26,100.4,65,206.2,7.6,214,33,0,0
29.0,44.0,1687,22.9,27,0.29,99.3,69,224.8,8.3,824,28,0,0
25.7,34.1,1536,44.0,60,0.35,102.1,59,218.2,6.6,913,69,0,0
30.3,48.3,1181,27.4,71,0.46,101.7,58,216.5,10.5,571,12,1,0
27.2,46.8,1553,54.2,23,0.28,99.8,68,213.9,10.6,541,31,0,0
24.8,39.8,1550,34.6,198,0.5,104.7,30,217.5,15.7,333,69,1,1
26.9,44.4,1624,38.8,67,0.34,104.4,63,222.7,10.5,659,46,0,0
25.7,45.0,1803,43.8,221,0.29,99.9,31,225.3,10.9,611,54,0,0
27.1,36.9,1406,47.9,149,0.47,99.6,68,218.7,7.8,819,55,0,0
24.4,37.6,1641,34.7,211,0.23,101.9,36,218.3,11.6,461,47,0,0
26.1,43.0,1544,43.9,150,0.21,103.8,37,218.3,6.6,968,54,0,0
28.2,40.4,1390,37.4,168,0.12,101.7,52,222.7,8.4,980,35,0,0
21.6,37.9,1333,46.3,195,0.37,100.6,30,224.2,10.5,873,51,0,0
26.5,39.0,1399,41.3,79,0.31,97.9,66,211.5,7.6,359,20,0,0
22.0,37.3,1566,35.2,131,0.39,102.9,48,223.5,8.8,739,85,0,0
21.4,29.5,1460,45.2,35,0.36,99.7,37,228.3,10.2,379,16,0,0
30.4,38.9,1656,57.9,220,0.38,100.5,55,224.9,9.5,317,51,0,0
22.0,40.0,1567,38.3,216,0.45,102.6,55,215.0,9.7,517,43,0,0
23.1,40.4,1477,28.0,165,0.59,101.9,39,216.6,10.0,356,83,0,0
26.9,43.1,1690,32.2,159,0.21,106.1,50,221.1,10.6,652,80,0,0
22.4,35.8,1492,54.1,19,0.43,97.9,35,209.1,8.2,673,74,0,0
22.6,34.5,1398,40.7,15,0.14,102.4,51,222.1,9.9,861,22,0,0
20.6,33.2,1803,41.8,13,0.17,102.0,34,213.0,8.8,595,36,0,0
28.4,43.4,1605,45.8,247,0.25,98.9,38,210.2,7.3,517,71,1,1
23.1,35.4,1350,36.7,54,0.41,99.4,42,227.1,10.2,279,37,0,0
26.6,42.5,1678,32.2,152,0.3,102.1,69,221.1,8.9,648,5,0,0
25.1,35.9,1185,41.4,200,0.66,97.6,53,221.8,8.9,651,59,1,0
21.5,41.1,1632,26.9,35,0.38,100.8,60,224.5,8.2,305,66,0,0
21.6,39.6,1567,54.7,209,0.49,99.5,31,221.4,8.3,582,30,1,1
26.5,38.3,1731,47.4,85,0.37,100.2,48,224.9,8.9,342,90,0,0
24.8,39.4,1841,38.6,28,0.2,101.5,37,216.4,12.0,837,58,0,0
25.9,41.5,1244,34.2,74,0.2,102.5,45,217.1,9.4,884,10,0,0
22.4,38.0,1628,46.1,4,0.34,100.8,45,221.5,9.7,990,74,0,0
20.8,35.4,1543,35.4,199,0.22,96.1,60,213.8,7.3,264,58,0,0
24.0,36.8,1642,43.6,9,0.23,101.3,52,216.7,10.4,871,42,0,0
24.3,43.0,1132,54.1,127,0.31,99.5,63,219.8,10.8,634,10,1,0
27.1,38.6,1596,28.0,42,0.41,100.6,32,215.7,9.4,829,55,0,0
18.5,30.9,1585,28.5,243,0.58,102.1,58,221.8,10.2,997,82,1,1
21.8,34.3,1103,40.9,135,0.19,100.1,47,223.2,10.0,953,23,0,0
26.5,43.8,1464,34.7,156,0.29,105.6,61,220.8,11.0,275,57,0,0
22.7,37.3,1253,38.3,40,0.45,100.2,70,208.9,10.9,429,15,0,0
27.5,39.8,1318,36.1,141,0.52,104.3,34,212.8,17.4,936,61,1,0
29.2,42.6,1455,36.9,224,0.25,102.5,67,214.4,12.2,643,64,1,1
32.1,43.7,1720,55.9,57,0.19,105.2,48,222.2,8.7,850,70,1,1
23.2,42.5,1498,46.6,184,0.5,102.8,66,217.4,13.9,283,5,1,1
26.5,43.7,1277,45.7,127,0.47,99.7,49,211.0,10.4,901,51,0,0
21.8,32.2,1576,34.6,183,0.29,98.8,52,233.5,11.0,579,65,0,0
24.8,36.0,1501,43.6,74,0.58,100.0,56,220.1,14.0,363,41,0,0
28.4,46.9,1494,36.5,100,0.35,96.1,43,219.6,9.5,488,63,0,0
24.5,42.7,1162,47.0,186,0.27,102.8,32,214.7,11.5,399,46,1,0
25.2,45.1,1354,38.3,249,0.3,102.9,51,222.8,8.2,347,25,0,0
24.0,32.5,1426,25.9,132,0.19,102.0,62,227.4,13.6,526,20,0,0
21.4,35.3,1490,31.6,4,0.3,99.3,56,225.5,6.9,942,88,0,0
22.3,39.0,1404,37.5,161,0.31,97.9,54,224.5,12.4,232,73,0,0
24.3,40.6,1595,28.3,235,0.46,97.5,33,221.7,9.3,774,41,0,0
21.5,41.0,1284,42.5,139,0.22,104.0,46,217.5,9.2,452,35,0,0
23.7,37.5,1305,22.7,184,0.25,101.2,64,222.5,5.9,553,18,0,0
30.8,49.9,1333,29.0,54,0.39,103.7,65,219.1,9.0,830,75,0,0
24.4,37.4,1454,39.2,197,0.3,104.7,40,229.8,6.1,687,61,0,0
28.9,47.8,1699,45.6,136,0.33,97.4,32,222.7,9.4,380,4,0,0
25.3,40.1,1482,57.8,72,0.56,98.6,63,222.0,5.3,716,59,0,0
25.3,41.1,1494,38.7,86,0.39,98.8,42,224.4,13.5,615,54,0,0
25.7,37.6,1590,40.1,60,0.44,99.8,51,221.3,9.0,211,33,0,0
29.6,43.2,1647,50.3,236,0.5,99.4,49,217.4,7.3,502,47,1,1
21.7,41.6,1527,31.3,233,0.48,98.9,43,221.1,10.2,810,10,0,0
20.5,39.5,1757,49.7,231,0.19,101.2,39,225.0,13.4,652,14,1,0
26.2,40.4,1315,37.3,118,0.36,100.5,31,216.2,7.1,963,27,0,0
28.4,42.9,1854,46.3,239,0.25,101.6,41,221.0,6.6,946,82,1,0
21.8,37.7,1692,28.7,89,0.31,105.9,55,230.7,6.8,428,0,0,0
24.1,38.5,1560,34.6,88,0.39,102.4,37,227.2,10.6,829,2,0,0
20.8,39.3,1588,40.1,112,0.39,101.4,33,223.5,14.0,439,73,0,0
32.3,43.9,1664,49.2,56,0.27,102.1,65,229.8,8.7,379,80,1,0
29.2,46.6,1403,36.5,38,0.46,100.9,64,223.0,6.2,507,90,1,1
26.0,45.6,1409,38.5,62,0.35,103.1,35,228.6,8.2,294,68,0,0
23.1,41.6,1282,45.1,185,0.54,100.6,43,216.9,11.2,215,27,0,0
23.0,39.3,1448,32.3,61,0.15,100.2,54,212.9,10.6,515,33,0,0
25.2,35.6,1342,39.1,221,0.38,101.5,46,222.8,7.5,937,53,0,0
23.7,38.5,1506,50.1,241,0.31,99.9,61,227.0,9.4,702,58,0,0
27.5,47.4,1845,49.4,214,0.31,104.1,33,210.1,10.2,845,29,1,1
21.9,34.4,1303,32.0,157,0.5,99.8,31,226.3,10.1,212,2,0,0
20.4,33.6,1496,44.7,235,0.32,102.2,42,221.6,8.9,562,34,0,0
23.4,38.2,1628,39.6,175,0.37,100.6,32,224.1,11.1,765,60,0,0
21.8,39.2,1500,25.5,24,0.25,104.8,44,213.1,11.0,780,60,0,0
30.9,41.1,1518,38.9,53,0.18,99.6,55,223.8,9.3,777,30,0,0
21.3,38.8,1696,38.8,190,0.3,102.0,57,219.7,10.1,819,78,0,0
26.2,43.6,1376,41.8,141,0.47,100.5,67,218.9,9.3,833,37,0,0
21.2,31.1,1715,34.2,23,0.42,103.0,53,220.1,10.1,289,23,0,0
23.6,32.8,1693,45.4,152,0.26,100.3,54,225.2,10.2,997,10,0,0
24.3,35.5,1399,39.5,42,0.42,99.4,60,222.1,10.4,452,80,0,0
22.2,31.8,1680,40.3,215,0.19,98.8,51,215.1,10.8,866,76,0,0
23.1,35.9,1514,34.5,162,0.53,98.7,45,220.4,9.3,602,46,0,0
27.2,43.4,1076,33.9,118,0.43,100.8,48,220.9,9.3,618,86,1,0
23.9,32.8,1189,49.1,102,0.34,96.9,56,217.6,6.6,568,89,1,0
23.6,32.9,1502,51.8,42,0.33,100.8,55,224.4,9.6,640,13,1,1
22.2,39.5,1559,32.0,88,0.28,103.6,48,219.9,5.6,318,18,0,0
28.9,41.1,1735,47.4,115,0.31,102.8,37,224.5,10.3,311,86,0,0
23.5,37.0,1665,43.3,47,0.19,99.9,31,215.9,9.7,660,75,0,0
18.8,30.1,1408,26.3,147,0.55,103.7,41,217.8,11.0,316,33,0,0
21.6,36.6,1358,31.1,158,0.54,102.7,49,226.6,12.3,888,17,0,0
23.0,35.5,1612,46.2,152,0.43,102.8,41,213.8,10.2,860,22,0,0
23.7,32.3,1681,39.3,34,0.36,102.0,65,224.6,7.7,901,62,0,0
24.9,39.7,1536,34.6,8,0.33,103.8,40,221.2,7.5,991,63,0,0
25.9,38.3,1169,41.0,184,0.32,100.0,57,221.3,13.0,969,31,1,1
28.4,46.7,1807,48.3,30,0.36,99.8,67,216.3,6.3,824,80,1,0
26.3,40.7,1280,36.0,250,0.31,100.8,47,216.0,12.3,895,12,0,0
23.9,40.3,1568,43.3,82,0.45,98.3,55,213.5,10.2,475,80,0,0
20.9,37.2,1671,46.3,124,0.26,101.2,35,220.3,9.7,880,89,0,0
21.7,41.3,1595,31.7,82,0.4,99.7,66,226.7,12.9,551,87,0,0
31.9,41.8,1542,16.1,109,0.45,102.2,38,227.3,11.3,480,11,0,0
23.3,31.9,1295,30.9,193,0.37,104.2,36,225.7,10.0,335,75,0,0
28.7,41.8,1010,42.1,98,0.38,104.4,36,224.8,8.4,340,48,0,0
30.7,39.5,1272,35.7,42,0.17,102.5,70,219.9,5.5,830,87,0,0
25.1,37.7,1259,46.8,35,0.33,101.3,45,227.2,7.4,822,36,0,0
23.7,37.9,1201,39.2,75,0.22,98.5,45,217.6,10.0,711,81,0,0
29.0,43.8,1763,32.0,195,0.49,95.5,34,222.7,10.7,468,27,1,1
25.1,40.6,1313,39.9,179,0.21,102.9,64,217.0,8.9,517,10,0,0
21.7,39.7,1661,38.8,178,0.31,96.7,45,224.7,10.8,644,14,0,0
25.5,34.9,1426,28.0,41,0.24,101.3,63,221.6,6.9,370,47,0,0
23.4,37.7,1664,38.2,160,0.67,103.3,53,222.6,13.7,370,47,0,0
27.0,37.7,1446,39.9,220,0.39,101.3,53,217.9,10.8,236,70,0,0
20.9,32.2,1644,46.8,128,0.4,101.0,44,218.5,11.9,610,8,0,0
17.0,31.6,1620,40.3,144,0.39,98.1,45,213.5,10.6,705,25,0,0
25.6,40.1,1483,31.9,2,0.21,101.4,54,219.9,11.9,306,26,0,0
21.1,40.8,1591,45.1,11,0.58,99.3,63,210.9,12.2,669,10,0,0
28.5,41.7,1605,45.7,66,0.33,104.0,55,210.8,9.0,525,57,0,0
20.3,30.2,1603,47.7,104,0.43,102.6,43,214.7,10.7,322,11,0,0
26.3,36.1,1846,34.9,101,0.05,98.3,46,219.4,10.5,614,57,0,0
23.3,32.5,1524,36.1,15,0.52,96.3,38,221.6,11.9,902,80,0,0
26.0,46.0,1464,43.7,207,0.51,104.3,51,227.9,13.4,251,21,1,1
30.0,44.0,1359,45.7,90,0.37,102.6,47,217.3,10.4,828,79,0,0
27.3,36.9,1554,45.2,134,0.59,101.3,64,236.0,11.7,1000,45,0,0
16.3,29.0,1567,46.3,56,0.57,102.0,47,234.4,12.2,742,45,0,0
23.7,41.5,1381,42.4,242,0.33,102.0,54,229.5,7.7,377,22,0,0
29.5,48.5,1775,42.2,242,0.29,100.8,42,224.7,6.9,704,69,1,1
25.2,39.5,1625,57.9,51,0.35,101.9,41,215.7,13.4,531,7,0,0
22.2,40.4,1793,24.4,95,0.3,98.5,67,223.4,11.0,339,20,0,0
28.6,44.9,1921,52.7,57,0.26,99.4,54,212.1,8.9,330,22,0,0
29.3,39.5,1363,53.2,156,0.38,103.8,61,225.2,12.6,443,44,0,0
22.8,33.8,1546,45.6,27,0.39,101.2,58,218.5,9.4,623,63,0,0
17.1,35.0,1556,29.8,194,0.32,100.2,34,220.4,9.5,220,40,0,0
26.4,35.3,1430,60.6,86,0.23,99.0,60,216.2,9.4,869,21,0,0
21.9,33.9,1682,38.7,141,0.32,98.1,46,217.8,8.6,298,6,0,0
23.0,34.5,1645,34.3,51,0.21,102.4,70,221.9,9.8,318,39,0,0
26.2,35.3,1389,38.6,226,0.29,102.2,32,219.5,12.2,431,34,0,0
27.4,41.9,1584,50.5,141,0.32,103.1,63,221.8,7.8,686,73,0,0
26.8,45.6,1452,30.8,230,0.19,101.0,69,227.3,13.9,659,22,1,0
26.2,42.4,1519,44.4,37,0.56,102.1,34,216.7,12.2,765,41,1,0
27.0,36.4,1637,48.4,149,0.36,96.6,36,217.9,9.6,492,68,0,0
21.9,32.0,1410,30.9,174,0.45,101.1,51,218.7,9.8,686,34,0,0
24.1,35.5,1222,40.6,25,0.44,101.1,49,225.3,9.7,528,34,0,0
18.8,31.7,1642,30.4,95,0.36,102.3,40,214.6,12.9,613,17,0,0
26.9,37.2,1670,26.8,63,0.39,101.4,53,218.9,8.5,675,64,0,0
22.2,32.3,1673,47.3,89,0.23,99.2,46,227.9,10.0,491,3,0,0
20.4,36.2,1437,34.3,104,0.11,101.0,30,217.4,10.2,377,76,0,0
23.9,35.2,1224,52.4,117,0.21,101.3,63,225.6,10.9,304,0,0,0
22.3,33.9,1550,41.8,70,0.2,98.2,46,213.1,5.9,867,38,0,0
22.6,39.3,1269,24.5,66,0.05,103.0,32,217.2,4.4,394,43,0,0
20.2,39.1,1399,31.6,216,0.43,103.9,65,221.0,10.8,331,33,0,0
23.8,34.5,1394,45.8,227,0.26,100.5,48,223.4,9.0,254,81,0,0
25.3,39.3,1618,34.2,76,0.14,103.4,39,222.2,11.0,619,72,0,0
25.6,41.2,1295,45.0,1,0.5,100.0,40,221.0,9.0,981,11,0,0
24.2,37.3,1482,40.1,136,0.39,103.1,30,226.5,7.9,743,24,1,1
24.5,38.5,1577,39.0,11,0.39,100.8,63,224.0,8.5,903,17,0,0
23.4,42.8,1659,36.0,58,0.41,107.0,43,219.3,7.3,373,15,0,0
25.6,40.7,1250,43.7,214,0.37,104.3,56,220.9,9.0,458,60,0,0
25.5,37.1,1360,30.0,69,0.22,99.1,56,221.1,9.2,936,79,0,0
21.0,39.0,1302,47.4,104,0.33,101.1,61,221.4,12.6,692,42,0,0
22.6,40.6,1450,36.0,23,0.36,100.5,36,225.9,8.4,667,37,0,0
26.7,42.8,1363,36.5,217,0.38,101.3,38,218.5,9.4,566,56,0,0
23.4,41.2,1574,47.4,246,0.13,102.3,60,222.2,7.2,370,14,0,0
27.9,42.7,1390,29.8,199,0.41,101.0,38,220.9,7.7,621,56,0,0
25.4,41.9,1365,27.7,147,0.34,99.9,51,212.4,9.6,833,12,0,0
28.3,47.0,1770,39.1,239,0.34,103.4,61,228.1,10.5,703,41,0,0
24.1,38.7,1260,50.2,20,0.14,102.2,58,225.0,11.2,523,15,0,0
28.7,46.6,1550,45.3,163,0.05,100.5,43,225.6,8.8,549,46,0,0
22.3,38.9,1370,46.6,24,0.35,99.9,51,215.7,12.2,498,70,0,0
28.0,44.7,1720,48.6,48,0.45,104.1,43,226.7,6.6,933,43,0,0
26.4,43.7,1248,43.6,244,0.05,101.2,30,218.5,9.9,643,74,1,0
24.8,37.4,1406,26.6,129,0.2,102.8,68,216.5,12.9,480,50,0,0
22.4,35.4,1407,27.4,76,0.43,99.2,50,217.2,5.5,847,27,0,0
26.4,42.9,1454,44.9,138,0.34,100.7,37,215.9,10.2,796,73,0,0
21.2,39.7,1474,40.6,27,0.42,101.5,33,222.6,13.2,364,36,0,0
26.1,38.4,1715,29.4,172,0.4,101.0,65,210.0,8.2,912,36,0,0
27.3,46.8,1654,39.0,141,0.54,102.4,42,213.7,7.6,653,28,0,0
26.3,37.8,1041,45.3,47,0.51,104.5,37,218.1,8.5,769,33,0,0
27.2,40.8,1547,39.1,237,0.33,101.9,70,214.5,8.0,702,73,0,0
28.5,45.9,1441,45.4,103,0.48,102.5,43,221.9,9.1,500,27,0,0
22.7,32.1,1424,44.9,164,0.22,99.5,32,218.2,8.4,316,49,0,0
21.4,35.2,1480,36.7,82,0.52,96.5,40,218.9,13.4,746,0,0,0
24.1,42.5,1425,41.7,137,0.47,97.7,57,212.8,6.2,964,87,1,1
25.9,43.4,1531,30.2,58,0.29,103.0,58,217.3,8.5,217,49,0,0
22.7,39.8,1259,33.6,18,0.26,103.1,48,221.0,8.4,288,36,0,0
21.3,30.9,1536,28.9,139,0.49,100.5,49,226.8,8.0,946,82,0,0
19.0,28.5,1742,40.3,137,0.3,101.1,43,219.9,5.7,552,27,0,0
26.0,36.3,1835,46.0,218,0.55,104.4,65,222.8,7.5,497,85,1,1
25.9,45.3,1332,49.3,60,0.48,102.9,42,217.7,12.0,831,84,1,1
22.4,34.2,1431,39.3,63,0.36,102.0,57,212.3,9.7,895,42,0,0
27.8,41.6,1700,47.3,20,0.48,98.0,38,222.6,9.2,951,80,0,0
26.5,43.7,1281,40.5,66,0.38,94.3,60,215.1,9.4,601,28,0,0
23.6,37.2,1319,39.5,128,0.44,101.4,69,216.6,6.9,343,57,0,0
24.7,37.0,1293,41.8,16,0.49,101.2,43,223.6,6.5,597,60,0,0
24.4,33.6,1750,37.8,70,0.4,100.0,64,215.6,9.2,587,46,0,0
27.1,40.0,1478,43.0,202,0.25,98.6,62,220.8,11.6,435,9,0,0
22.8,32.7,1234,31.2,169,0.38,104.9,37,214.3,10.3,415,75,0,0
27.8,37.4,1673,23.2,37,0.33,102.8,41,221.3,8.0,777,81,1,0
24.7,40.0,1296,41.6,56,0.43,98.9,67,221.4,8.9,875,65,0,0
25.4,34.7,1676,44.7,129,0.58,99.8,68,211.4,11.9,829,76,0,0
26.9,40.7,1667,47.9,211,0.63,101.3,57,215.2,9.7,244,89,1,0
20.8,37.9,1342,38.8,34,0.3,101.2,35,228.5,9.2,618,32,0,0
31.0,45.2,1413,43.8,205,0.3,103.0,39,214.1,11.2,467,68,1,0
25.1,42.5,1314,32.4,142,0.36,95.4,66,221.5,8.3,953,17,0,0
28.9,46.3,1578,38.8,130,0.26,102.4,65,214.3,8.0,253,20,0,0
27.9,36.7,1413,40.6,9,0.4,100.6,55,208.6,8.2,928,76,0,0
22.6,30.7,1745,25.1,132,0.34,101.8,68,212.3,9.8,829,21,0,0
26.3,37.6,1488,30.4,103,0.46,99.2,34,216.9,12.2,943,71,1,0
23.2,38.5,1641,57.3,147,0.42,101.3,62,221.5,10.5,501,43,0,0
22.3,37.1,1060,41.7,246,0.15,101.8,67,212.5,11.5,464,8,0,0
22.4,40.0,1356,43.9,137,0.58,101.5,45,218.8,12.0,966,43,0,0
25.8,36.0,1730,39.6,48,0.07,100.0,45,220.0,10.9,407,31,0,0
23.5,42.5,1380,29.5,157,0.59,101.5,32,222.8,8.4,522,63,1,0
31.6,43.0,1460,41.8,13,0.5,99.2,64,219.2,11.8,902,22,0,0
25.6,37.4,1769,40.6,97,0.26,100.4,69,222.1,9.0,469,30,0,0
22.9,39.3,1500,29.1,71,0.52,98.8,66,222.0,8.6,938,34,0,0
19.9,29.7,1599,38.8,206,0.48,101.4,38,229.7,9.9,729,68,1,0
21.3,30.0,1664,43.6,161,0.22,104.0,46,224.7,8.4,463,44,1,1
27.9,47.7,1465,46.9,130,0.15,101.6,35,217.0,11.1,846,18,0,0
25.7,35.6,1443,41.0,74,0.45,100.6,55,213.4,9.7,571,75,0,0
28.2,46.5,1593,44.1,64,0.52,100.2,35,221.2,12.0,297,8,0,0
25.5,45.5,1282,48.8,21,0.45,99.0,49,211.4,10.4,653,80,1,1
29.9,45.9,1602,34.5,121,0.11,102.1,47,217.4,9.7,914,69,0,0
20.8,32.5,1462,34.3,206,0.47,102.8,56,222.3,9.9,200,66,1,0
27.5,41.9,1420,31.4,193,0.33,101.3,57,222.0,7.4,207,70,0,0
25.0,40.8,1785,42.7,20,0.28,100.0,69,221.7,11.1,491,83,0,0
20.7,30.9,1436,51.0,158,0.17,102.2,61,220.4,10.4,250,68,0,0
24.0,34.8,1216,45.5,87,0.46,98.2,61,224.2,12.2,232,42,0,0
25.0,33.9,1384,41.0,215,0.35,103.3,30,226.2,12.4,454,49,0,0
26.5,35.6,1778,37.2,99,0.28,100.6,50,216.1,11.8,962,70,0,0
29.1,39.5,1773,29.6,55,0.44,101.1,57,218.6,11.1,482,74,0,0
24.3,41.5,1403,40.1,175,0.49,97.9,70,212.2,11.7,357,89,0,0
26.0,37.8,1258,35.9,88,0.39,99.3,42,224.8,10.3,941,17,0,0
21.5,35.4,1418,30.8,82,0.29,101.1,68,216.0,12.2,270,67,0,0
23.0,36.4,1534,30.6,187,0.36,101.7,53,220.6,8.5,938,8,0,0
25.2,36.6,1396,34.0,24,0.41,100.6,38,219.7,10.2,309,62,0,0
25.7,41.6,1223,38.0,65,0.43,101.7,34,231.2,10.4,871,62,0,0
21.8,40.5,1727,46.2,14,0.16,102.0,32,216.5,9.6,279,27,0,0
19.3,33.7,1581,49.1,63,0.09,99.2,65,220.0,7.9,308,81,0,0
26.3,36.5,1426,34.1,40,0.41,98.7,52,218.6,12.1,532,47,0,0
22.8,37.6,1568,53.3,237,0.35,99.4,58,215.2,10.7,943,4,0,0
27.5,39.1,1493,42.8,5,0.58,101.9,47,208.1,12.1,784,73,1,1
23.3,33.0,1340,47.8,59,0.35,103.0,66,211.0,12.6,951,9,0,0
22.9,39.7,1414,37.1,14,0.33,102.9,57,217.9,6.5,988,29,0,0
28.0,36.6,1343,38.9,144,0.43,103.2,44,224.3,12.5,602,57,0,0
20.2,30.0,1631,35.3,190,0.47,103.2,35,221.5,8.3,914,16,0,0
26.9,39.6,1291,35.6,188,0.26,101.1,47,220.7,8.3,789,11,0,0
26.0,41.9,1654,40.6,89,0.28,96.8,58,209.9,8.5,439,25,0,0
22.7,39.6,1510,51.1,37,0.5,98.6,30,215.0,13.0,512,57,1,0
26.0,37.1,1709,27.1,36,0.37,100.3,54,213.0,7.4,244,32,0,0
